"","X.2","X.1","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","max_canopy_height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population"
"76",907,907,907,"AC","H17Sr24",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,16.6,NA,NA,NA,27.05,25.76,23.32,12.48,15.4,8.06,"H17SR24",NA,1,11.98,25.3766666666667,NA,"Northern"
"77",2121,2379,2379,"AC","H17Sr25",2017,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,24.93,20.9,3.21,2.83,NA,NA,NA,9.02,7.32,7.36,"H17SR25",1672.52877,3,7.9,NA,12.055,"Northern"
"78",911,911,911,"AC","H17Sr28",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,6.9,NA,NA,NA,NA,NA,NA,3.8,NA,NA,"H17SR28",NA,1,NA,NA,NA,"Northern"
"79",913,913,913,"LB","H17Sr3",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,1.4,NA,NA,NA,NA,NA,NA,7.44,NA,NA,"H17SR3",NA,1,NA,NA,NA,"Northern"
"80",3162,3162,3162,"EW","H17Sr30",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,14,27,22,18,38,32,28,24,25,13,"H17SR30",8316,5,20.6666666666667,32.6666666666667,24.5,"Northern"
"81",915,915,915,"EW","H17Sr31",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,2.1,NA,NA,NA,NA,NA,NA,11.31,NA,NA,"H17SR31",NA,1,NA,NA,NA,"Northern"
"82",916,916,916,"EW","H17Sr32",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,1.9,NA,NA,NA,NA,NA,NA,7.9,NA,NA,"H17SR32",NA,1,NA,NA,NA,"Northern"
"83",3167,3167,3167,"EW","H17Sr35",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,19,23,24,16,27,26,28,36,35,25,"H17SR35",10488,5,32,27,23.5,"Northern"
"84",2133,2391,2391,"EW","H17Sr36",2017,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,14.6,20.8,9.4,11,32,28,38,68,56,64,"H17SR36",2854.592,3,62.6666666666667,32.6666666666667,15.1,"Northern"
"85",2721,2054,2054,"EW","H17Sr37",2017,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,5.9,8.4,6.8,8,23,18,20,6,10,9,"H17SR37",337.008,4,8.33333333333333,20.3333333333333,7.6,"Northern"
