"","SITE","SUBSITE","TRTMT","PLOT","YEAR","SPP","STATUS","TISSUE","X","Y","Hit.Order","Abundance","Height..cm.","X.1","X.2","unique_coords"
"9788","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",4,5,NA,1,13.5,"","","45"
"9792","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",5,5,NA,1,8.6,"","","55"
"9823","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",3,6,NA,1,10.5,"","","36"
"9854","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",3,7,NA,2,14.8,"","","37"
"9877","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",10,7,NA,2,11.5,"","","107"
"9885","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",2,8,NA,3,13.4,"","","28"
"9892","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",3,8,NA,1,11.8,"","","38"
"9912","QHI","HE","CTL",2,2014,"SALPUL","STANDINGDEAD","LEAF",9,8,NA,2,12.4,"","","98"
"9917","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",10,8,NA,2,13.1,"","","108"
"9925","QHI","HE","CTL",2,2014,"SALPUL","LIVE","STEM",1,9,NA,1,7.6,"","","19"
"9928","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",2,9,NA,1,8.2,"","","29"
"9932","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",3,9,NA,1,11.7,"","","39"
"9941","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",5,9,NA,1,7,"","","59"
"9954","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",8,9,NA,2,7.6,"","","89"
"9956","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",9,9,NA,1,18,"","","99"
"9962","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",10,9,NA,1,5.8,"","","109"
"9964","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",1,10,NA,4,15.1,"","","110"
"9967","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",2,10,NA,2,11.6,"","","210"
"9985","QHI","HE","CTL",2,2014,"SALPUL","STANDINGDEAD","STEM",6,10,NA,1,11.4,"","","610"
"9991","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",7,10,NA,1,16,"","","710"
"9998","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",8,10,NA,2,15,"","","810"
"10003","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",9,10,NA,1,7.4,"","","910"
"10011","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",1,1,NA,4,8.3,"","","11"
"10018","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",2,1,NA,1,10.6,"","","21"
"10021","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",3,1,NA,1,13.1,"","","31"
"10045","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",9,1,NA,1,10.4,"","","91"
"10119","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",9,3,NA,3,18.6,"","","93"
"10160","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",8,4,NA,3,10.9,"","","84"
"10203","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",7,5,NA,1,11.5,"","","75"
"10214","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",10,5,NA,1,6,"","","105"
"10238","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",6,6,NA,1,16.7,"","","66"
"10255","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",10,6,NA,2,7.6,"","","106"
"10261","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",1,7,NA,1,5.6,"","","17"
"10283","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",7,7,NA,3,13.2,"","","77"
"10287","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",8,7,NA,2,8.1,"","","87"
"10300","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",10,7,NA,3,8.3,"","","107"
"10327","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",7,8,NA,1,4.8,"","","78"
"10371","QHI","HE","CTL",3,2014,"SALPUL","LIVE","STEM",7,9,NA,1,5.4,"","","79"
"10408","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",7,10,NA,2,12.9,"","","710"
"10412","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",8,10,NA,1,7.1,"","","810"
"10419","QHI","HE","CTL",3,2014,"SALPUL","LIVE","LEAF",9,10,NA,2,9.8,"","","910"
"10431","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",1,1,NA,1,18.7,"","","11"
"10439","QHI","HE","CTL",4,2014,"SALPUL","LIVE","LEAF",2,1,NA,1,7.4,"","","21"
